flux	vhel	wav	cont
32260.350504514074	-355.3059496506452	7331.999999999998	4618.39501953125
13637.143919277749	-320.59214997216264	7332.849999999998	4618.39501953125
5794.529474243229	-285.878350293643	7333.699999999998	4618.39501953125
4767.465746149761	-251.16455061516052	7334.549999999997	4618.39501953125
4695.79394583112	-216.4507509366409	7335.399999999998	4618.39501953125
4683.586298459904	-181.7369512581584	7336.249999999997	4618.39501953125
4681.998937865109	-147.02315157963878	7337.099999999998	4618.39501953125
4715.109930961232	-112.30935190111916	7337.949999999998	4618.39501953125
4845.785979819437	-77.59555222259952	7338.799999999998	4618.39501953125
5034.797132235794	-42.88175254407988	7339.649999999999	4618.39501953125
5067.706850770048	-8.167952865634538	7340.499999999997	4618.39501953125
4907.73287307488	26.545846812885095	7341.349999999998	4618.39501953125
4697.211895910781	61.25964649140472	7342.199999999998	4618.39501953125
4630.836431226766	95.97344616988721	7343.049999999997	4618.39501953125
4617.75570897504	130.68724584840686	7343.899999999998	4618.39501953125
4619.1375464684015	165.40104552692648	7344.749999999998	4618.39501953125
4628.583643122676	200.11484520540898	7345.599999999998	4618.39501953125
4627.828996282527	234.82864488389143	7346.449999999997	4618.39501953125
4617.8953797132235	269.54244456241105	7347.299999999997	4618.39501953125
4608.922995220393	304.2562442409307	7348.149999999998	4618.39501953125
4608.746149761019	338.97004391945035	7348.999999999998	4618.39501953125
