flux	cont	vhel	wav
5430.21533203125	5363.0595703125	-269.27390292100256	8854.349999999999
5464.51318359375	5363.0595703125	-240.5218294430612	8855.199999999997
5308.3759765625	5363.0595703125	-211.76975596505835	8856.049999999997
5305.7890625	5363.0595703125	-183.01768248705545	8856.899999999998
5379.8291015625	5363.0595703125	-154.2656090090526	8857.749999999998
5319.15966796875	5363.0595703125	-125.51353553104974	8858.599999999999
5454.40087890625	5363.0595703125	-96.76146205310839	8859.449999999997
6093.14794921875	5363.0595703125	-68.00938857510552	8860.299999999997
8979.552734375	5363.0595703125	-39.25731509710264	8861.149999999998
16835.3359375	5363.0595703125	-10.505241619099777	8861.999999999998
24406.83984375	5363.0595703125	18.24683185890309	8862.849999999999
23621.228515625	5363.0595703125	46.99890533690596	8863.699999999999
15175.296875	5363.0595703125	75.75097881490883	8864.55
8085.68798828125	5363.0595703125	104.50305229285016	8865.399999999998
6105.4990234375	5363.0595703125	133.25512577085306	8866.249999999998
5710.57568359375	5363.0595703125	162.00719924885587	8867.099999999999
5551.77783203125	5363.0595703125	190.75927272685877	8867.949999999999
5406.90625	5363.0595703125	219.51134620486167	8868.8
5229.15771484375	5363.0595703125	248.26341968280298	8869.649999999998
5248.017578125	5363.0595703125	277.0154931608058	8870.499999999998
5306.01220703125	5363.0595703125	305.7675666388088	8871.349999999999
