wav	flux	cont	vhel
7522.399999999998	6504.451171875	6421.26416015625	-309.0309321630605
7523.249999999998	6524.44091796875	6421.26416015625	-275.19237953024407
7524.099999999998	6537.3212890625	6421.26416015625	-241.35382689746373
7524.949999999998	6422.75927734375	6421.26416015625	-207.51527426464725
7525.799999999997	6317.84521484375	6421.26416015625	-173.67672163186694
7526.649999999998	6387.55908203125	6421.26416015625	-139.83816899905042
7527.499999999997	6366.3935546875	6421.26416015625	-105.9996163662701
7528.349999999998	6308.52001953125	6421.26416015625	-72.16106373345359
7529.199999999998	6438.8125	6421.26416015625	-38.322511100637065
7530.049999999998	6525.92724609375	6421.26416015625	-4.483958467820552
7530.899999999997	6479.64111328125	6421.26416015625	29.35459416492355
7531.749999999997	6393.265625	6421.26416015625	63.19314679774007
7532.599999999998	6325.6171875	6421.26416015625	97.03169943055657
7533.449999999998	6400.24365234375	6421.26416015625	130.8702520633731
7534.299999999998	6394.27197265625	6421.26416015625	164.70880469618962
7535.149999999998	6328.52197265625	6421.26416015625	198.54735732896992
7535.999999999997	6287.7841796875	6421.26416015625	232.38590996175023
7536.849999999998	6302.90771484375	6421.26416015625	266.2244625945668
7537.699999999998	6362.685546875	6421.26416015625	300.0630152273833
7538.549999999997	6321.41552734375	6421.26416015625	333.90156786016365
7539.399999999998	6337.990234375	6421.26416015625	367.7401204929801
