wav	cont	flux	vhel
6362.999999999999	5498.79248046875	7005.8470525756775	-393.36420307127116
6363.8499999999985	5498.79248046875	7969.489644184811	-353.3690388834312
6364.699999999999	5498.79248046875	7846.804036112586	-313.37387469554835
6365.549999999998	5498.79248046875	6744.990440785979	-273.3787105077083
6366.399999999999	5498.79248046875	5859.14604354753	-233.3835463198255
6367.249999999999	5498.79248046875	5564.543281996814	-193.3883821319427
6368.099999999999	5498.79248046875	5492.4312267658	-153.3932179440599
6368.95	5498.79248046875	5539.320764737122	-113.39805375617708
6369.799999999998	5498.79248046875	5782.749336165693	-73.40288956837985
6370.649999999999	5498.79248046875	6315.222517259692	-33.407725380497034
6371.499999999999	5498.79248046875	6673.810408921933	6.5874388073857855
6372.349999999999	5498.79248046875	6571.594795539034	46.58260299526861
6373.199999999999	5498.79248046875	5983.3791821561335	86.57776718310862
6374.049999999999	5498.79248046875	5613.133828996282	126.57293137099144
6374.899999999999	5498.79248046875	5528.305894848646	166.56809555883146
6375.749999999999	5498.79248046875	5487.375464684015	206.56325974671427
6376.5999999999985	5498.79248046875	5441.015400955921	246.5584239345543
6377.449999999999	5498.79248046875	5507.59160913436	286.55358812243713
6378.299999999999	5498.79248046875	5495.629845990441	326.5487523103199
6379.15	5498.79248046875	5497.977695167287	366.54391649820275
6379.999999999998	5498.79248046875	5507.286776420606	406.539080686
