wav	cont	flux	vhel
4658.749999999999	9143.2431640625	13292.431291816778	-530.5936141298899
4659.599999999999	9143.2431640625	11309.603705609881	-475.9925763562171
4660.449999999999	9143.2431640625	9380.851260936695	-421.39153858260266
4661.299999999999	9143.2431640625	8681.146680391148	-366.7905008089298
4662.15	9143.2431640625	8352.937210499227	-312.1894630352569
4662.999999999999	9143.2431640625	8197.41224909933	-257.5884252616425
4663.849999999999	9143.2431640625	8155.433350488935	-202.98738748796958
4664.699999999999	9143.2431640625	8015.915594441585	-148.38634971435513
4665.549999999999	9143.2431640625	8062.717961914565	-93.78531194068226
4666.399999999999	9143.2431640625	8157.144621718991	-39.184274167067805
4667.249999999999	9143.2431640625	8079.812146165723	15.416763606605064
4668.0999999999985	9143.2431640625	8100.15079773546	70.01780138021951
4668.949999999999	9143.2431640625	8107.533710756562	124.6188391538924
4669.799999999999	9143.2431640625	7994.867215645909	179.21987692756528
4670.649999999999	9143.2431640625	8051.379825012867	233.8209147011797
4671.499999999999	9143.2431640625	8087.495110653628	288.42195247485256
4672.349999999999	9143.2431640625	7995.061245496655	343.02299024852545
4673.199999999999	9143.2431640625	8069.640247040658	397.6240280221399
4674.049999999999	9143.2431640625	8112.294904786413	452.2250657958127
4674.9	9143.2431640625	8061.463201235203	506.8261035694856
4675.749999999999	9143.2431640625	8177.016469377251	561.4271413431002
