vhel	cont	wav	flux
-265.91690397044243	5383.5732421875	9023.499999999998	5350.990234375
-237.7034862002798	5383.5732421875	9024.349999999999	5212.919921875
-209.49006843017753	5383.5732421875	9025.199999999997	5531.8837890625
-181.2766506600149	5383.5732421875	9026.049999999997	5489.28076171875
-153.06323288985223	5383.5732421875	9026.899999999998	5299.55615234375
-124.84981511968957	5383.5732421875	9027.749999999998	5416.19287109375
-96.63639734952692	5383.5732421875	9028.599999999999	5393.3349609375
-68.42297957942465	5383.5732421875	9029.449999999997	5414.498046875
-40.209561809261984	5383.5732421875	9030.299999999997	5437.0
-11.996144039099336	5383.5732421875	9031.149999999998	5385.28564453125
16.217273731063315	5383.5732421875	9031.999999999998	5435.4326171875
44.430691501225965	5383.5732421875	9032.849999999999	5531.8046875
72.64410927138861	5383.5732421875	9033.699999999999	5528.43408203125
100.8575270414909	5383.5732421875	9034.549999999997	5423.591796875
129.07094481165353	5383.5732421875	9035.399999999998	5615.4765625
157.2843625818162	5383.5732421875	9036.249999999998	5627.86328125
185.4977803519788	5383.5732421875	9037.099999999999	5476.85107421875
213.71119812214147	5383.5732421875	9037.949999999999	5694.205078125
241.92461589230413	5383.5732421875	9038.8	5614.49072265625
270.13803366240643	5383.5732421875	9039.649999999998	5485.19921875
298.3514514325691	5383.5732421875	9040.499999999998	5476.05517578125
