flux	vhel	wav	cont
11396.571721311475	-372.82560462171574	6625.65	11409.4619140625
11474.997950819672	-334.41326960010906	6626.499999999999	11409.4619140625
11420.214139344262	-296.00093457846134	6627.349999999999	11409.4619140625
11375.692622950819	-257.58859955685466	6628.199999999999	11409.4619140625
11466.843237704918	-219.1762645352069	6629.049999999999	11409.4619140625
11406.865778688525	-180.76392951355913	6629.9	11409.4619140625
11416.426229508197	-142.35159449191138	6630.75	11409.4619140625
11360.029713114754	-103.93925947026362	6631.6	11409.4619140625
11351.147540983606	-65.52692444869807	6632.449999999999	11409.4619140625
11224.443647540984	-27.114589427050312	6633.299999999999	11409.4619140625
11220.017418032787	11.297745594597446	6634.15	11409.4619140625
11260.709016393443	49.71008061624521	6635.0	11409.4619140625
11296.199795081968	88.12241563785186	6635.849999999999	11409.4619140625
11325.89856557377	126.53475065949962	6636.7	11409.4619140625
11269.011270491803	164.94708568110627	6637.549999999999	11409.4619140625
11201.274590163934	203.35942070275405	6638.4	11409.4619140625
11399.522540983606	241.7717557243607	6639.249999999999	11409.4619140625
11388.722336065573	280.18409074600845	6640.099999999999	11409.4619140625
11374.698770491803	318.5964257676562	6640.95	11409.4619140625
11396.093237704918	357.008760789304	6641.8	11409.4619140625
11399.425204918032	395.42109581086953	6642.649999999999	11409.4619140625
