wav	cont	flux	vhel
4677.449999999999	48917.6875	49625.36	-526.5600573108736
4678.299999999999	48917.6875	49113.852	-472.17657630062337
4679.149999999999	48917.6875	49477.528	-417.79309529043144
4679.999999999999	48917.6875	50354.128	-363.4096142801813
4680.849999999999	48917.6875	50361.356	-309.0261332699311
4681.699999999999	48917.6875	50347.984	-254.6426522597391
4682.549999999999	48917.6875	50646.804	-200.25917124948893
4683.4	48917.6875	49814.776	-145.87569023923874
4684.249999999999	48917.6875	49602.532	-91.49220922904676
4685.099999999999	48917.6875	49344.604	-37.10872821879659
4685.949999999999	48917.6875	48741.816	17.27475279139539
4686.799999999999	48917.6875	49118.688	71.65823380164557
4687.649999999999	48917.6875	48296.536	126.04171481183754
4688.499999999999	48917.6875	48938.028	180.42519582208772
4689.3499999999985	48917.6875	49307.02	234.8086768322797
4690.199999999999	48917.6875	49329.62	289.19215784252987
4691.049999999999	48917.6875	49176.132	343.57563885278006
4691.899999999999	48917.6875	48919.384	397.95911986297205
4692.749999999999	48917.6875	49175.492	452.3426008732222
4693.599999999999	48917.6875	49552.368	506.7260818834724
4694.449999999999	48917.6875	49334.644	561.1095628936644
