flux	vhel	wav	cont
3215.098018400566	-330.616221611153	7246.149999999998	3141.40185546875
3165.687898089172	-295.4882480649609	7246.999999999998	3141.40185546875
3143.966737438075	-260.3602745188064	7247.849999999998	3141.40185546875
3138.401981599434	-225.23230097261438	7248.699999999998	3141.40185546875
3131.7045293701344	-190.10432742645995	7249.549999999997	3141.40185546875
3110.967091295117	-154.9763538802679	7250.399999999998	3141.40185546875
3090.03432413305	-119.84838033411343	7251.249999999997	3141.40185546875
3114.6680820948336	-84.72040678792138	7252.099999999998	3141.40185546875
3313.881457891012	-49.592433241729324	7252.949999999998	3141.40185546875
3906.1019108280257	-14.464459695537274	7253.799999999998	3141.40185546875
4457.594125973107	20.66351385061719	7254.649999999998	3141.40185546875
4412.877211606511	55.79148739677166	7255.499999999997	3141.40185546875
3809.7597310686483	90.91946094296371	7256.349999999998	3141.40185546875
3299.6468506723286	126.04743448915576	7257.199999999998	3141.40185546875
3161.8400566171267	161.17540803531023	7258.049999999997	3141.40185546875
3136.911889596603	196.30338158150226	7258.899999999998	3141.40185546875
3128.7646850672327	231.43135512769433	7259.749999999998	3141.40185546875
3115.7997169143664	266.55932867384877	7260.599999999998	3141.40185546875
3106.9961075725405	301.68730222000323	7261.449999999997	3141.40185546875
3106.263977353149	336.8152757661953	7262.299999999997	3141.40185546875
