flux	cont	vhel	wav
5273.44970703125	5289.77099609375	-271.739262047705	8570.449999999999
5325.6611328125	5289.77099609375	-242.0350077501883	8571.299999999997
5283.767578125	5289.77099609375	-212.33075345260795	8572.149999999998
5276.205078125	5289.77099609375	-182.62649915502772	8572.999999999998
5354.8056640625	5289.77099609375	-152.9222448574474	8573.849999999999
5332.4130859375	5289.77099609375	-123.21799055986709	8574.699999999999
5239.65087890625	5289.77099609375	-93.51373626228683	8575.55
5426.60107421875	5289.77099609375	-63.809481964770086	8576.399999999998
5608.0712890625	5289.77099609375	-34.1052276671898	8577.249999999998
6186.52978515625	5289.77099609375	-4.400973369609516	8578.099999999999
6946.634765625	5289.77099609375	25.303280927970775	8578.949999999999
6877.45751953125	5289.77099609375	55.00753522555107	8579.8
6170.30810546875	5289.77099609375	84.71178952313134	8580.65
5857.10791015625	5289.77099609375	114.41604382064808	8581.499999999998
6031.30908203125	5289.77099609375	144.12029811822836	8582.349999999999
5952.14697265625	5289.77099609375	173.82455241580865	8583.199999999999
5711.169921875	5289.77099609375	203.52880671338895	8584.05
5543.775390625	5289.77099609375	233.23306101096924	8584.9
5379.08447265625	5289.77099609375	262.9373153085495	8585.75
5318.443359375	5289.77099609375	292.64156960606624	8586.599999999999
5374.6494140625	5289.77099609375	322.34582390364653	8587.449999999999
