flux	vhel	wav	cont
4501.767923526288	-324.53139882101624	7511.349999999998	4554.00634765625
4530.831651619756	-290.64298493920927	7512.199999999998	4554.00634765625
4575.308019118428	-256.7545710574022	7513.049999999998	4554.00634765625
4608.1200212426975	-222.86615717563146	7513.899999999998	4554.00634765625
4591.705788635157	-188.9777432938607	7514.749999999997	4554.00634765625
4533.593733404143	-155.08932941205367	7515.599999999998	4554.00634765625
4525.418481147106	-121.20091553024665	7516.449999999998	4554.00634765625
4536.238449283059	-87.31250164847589	7517.299999999997	4554.00634765625
4524.018587360595	-53.424087766668876	7518.149999999998	4554.00634765625
4561.586298459904	-19.535673884861854	7518.999999999998	4554.00634765625
4611.3951141795005	14.352739996945163	7519.8499999999985	4554.00634765625
4593.7833244822095	48.24115387867966	7520.699999999997	4554.00634765625
4586.746149761019	82.12956776048668	7521.549999999997	4554.00634765625
4679.125862984599	116.01798164229369	7522.399999999998	4554.00634765625
4720.951141795008	149.9063955241007	7523.249999999998	4554.00634765625
4677.693043016463	183.7948094058715	7524.099999999998	4554.00634765625
4587.480616038237	217.6832232876785	7524.949999999998	4554.00634765625
4518.8959107806695	251.57163716944928	7525.799999999997	4554.00634765625
4493.286776420606	285.4600510512563	7526.649999999998	4554.00634765625
4520.9585767392455	319.348464933027	7527.499999999997	4554.00634765625
