wav	cont	flux	vhel
5731.449999999998	17217.17578125	17310.317164179105	-432.47357493130676
5732.299999999998	17217.17578125	17272.80223880597	-388.07713306032866
5733.149999999999	17217.17578125	17262.876865671642	-343.6806911893505
5733.999999999999	17217.17578125	17307.69589552239	-299.2842493183725
5734.8499999999985	17217.17578125	17273.25932835821	-254.88780744744187
5735.699999999998	17217.17578125	17254.169776119405	-210.49136557651127
5736.549999999998	17217.17578125	17288.90485074627	-166.09492370553318
5737.399999999999	17217.17578125	17267.826492537315	-121.69848183455508
5738.249999999998	17217.17578125	17278.037313432837	-77.30203996362451
5739.0999999999985	17217.17578125	17412.369402985074	-32.90559809264641
5739.949999999999	17217.17578125	17400.34514925373	11.49084377833168
5740.799999999998	17217.17578125	17289.621268656716	55.88728564926227
5741.649999999998	17217.17578125	17218.339552238805	100.28372752019285
5742.499999999998	17217.17578125	17169.005597014926	144.68016939117092
5743.3499999999985	17217.17578125	17157.22014925373	189.07661126214902
5744.199999999999	17217.17578125	17170.90485074627	233.4730531331271
5745.049999999999	17217.17578125	17157.117537313432	277.8694950041052
5745.899999999998	17217.17578125	17127.912313432837	322.2659368749883
5746.749999999998	17217.17578125	17172.07276119403	366.6623787459664
5747.5999999999985	17217.17578125	17173.205223880595	411.0588206169445
5748.449999999999	17217.17578125	17114.498134328358	455.4552624879226
