wav	cont	flux	vhel
6269.499999999999	4678.97119140625	4656.775	-405.8993139535318
6270.3499999999985	4678.97119140625	4654.239634146342	-365.309382558209
6271.199999999999	4678.97119140625	4665.5737804878045	-324.7194511628428
6272.049999999999	4678.97119140625	4663.811585365854	-284.1295197674766
6272.9	4678.97119140625	4628.614634146342	-243.53958837211036
6273.749999999999	4678.97119140625	4627.785975609756	-202.9496569767876
6274.5999999999985	4678.97119140625	4676.119512195122	-162.35972558146483
6275.449999999999	4678.97119140625	4577.428353658536	-121.76979418609862
6276.299999999999	4678.97119140625	4441.945121951219	-81.17986279073241
6277.149999999999	4678.97119140625	4463.280182926829	-40.58993139540964
6277.999999999999	4678.97119140625	4410.26737804878	-4.3430973587525185e-11
6278.8499999999985	4678.97119140625	4377.4689024390245	40.58993139527934
6279.699999999999	4678.97119140625	4432.852743902439	81.17986279064556
6280.549999999998	4678.97119140625	4407.751219512195	121.76979418596832
6281.399999999999	4678.97119140625	4396.750609756097	162.35972558133454
6282.249999999999	4678.97119140625	4440.473780487805	202.94965697670074
6283.099999999999	4678.97119140625	4403.121341463415	243.53958837206693
6283.95	4678.97119140625	4367.3	284.1295197674332
6284.799999999998	4678.97119140625	4370.517682926829	324.7194511627125
6285.649999999999	4678.97119140625	4434.885975609756	365.3093825580787
6286.499999999999	4678.97119140625	4473.158841463414	405.89931395344496
