flux	vhel	wav	cont
7017.64790228359	-484.28008217753546	5444.999999999998	7008.83447265625
6991.824216675518	-437.55612419218045	5445.8499999999985	7008.83447265625
7007.472118959108	-390.83216620682543	5446.699999999999	7008.83447265625
6988.542219861923	-344.10820822152044	5447.549999999998	7008.83447265625
7002.061603823686	-297.3842502361654	5448.399999999999	7008.83447265625
7031.778544875199	-250.6602922508604	5449.249999999998	7008.83447265625
7022.499734466277	-203.9363342655054	5450.0999999999985	7008.83447265625
7024.836431226766	-157.2123762802004	5450.949999999998	7008.83447265625
7046.36165693043	-110.48841829484537	5451.799999999998	7008.83447265625
7048.021242697822	-63.76446030949036	5452.649999999999	7008.83447265625
7064.440254912374	-17.040502324135353	5453.499999999999	7008.83447265625
7077.172596919809	29.683455661119677	5454.349999999998	7008.83447265625
7030.585236325013	76.4074136464747	5455.199999999998	7008.83447265625
6991.993627190654	123.1313716318297	5456.049999999998	7008.83447265625
7006.269782262348	169.8553296171847	5456.899999999999	7008.83447265625
7006.8682952735	216.57928760253972	5457.749999999999	7008.83447265625
7014.302177376527	263.30324558784474	5458.5999999999985	7008.83447265625
7030.477429633564	310.0272035731498	5459.449999999998	7008.83447265625
7012.688794476899	356.7511615585048	5460.299999999998	7008.83447265625
7000.618693574084	403.4751195438598	5461.149999999999	7008.83447265625
7020.85395645247	450.1990775291648	5461.999999999998	7008.83447265625
