wav	cont	flux	vhel
5897.199999999999	16268.3896484375	15702.04291044776	-446.6938080596558
5898.049999999998	16268.3896484375	16109.503731343284	-403.54724705392664
5898.899999999999	16268.3896484375	16160.529850746268	-360.40068604815133
5899.749999999999	16268.3896484375	16239.453358208955	-317.25412504237596
5900.599999999999	16268.3896484375	16295.899253731342	-274.1075640366007
5901.449999999999	16268.3896484375	16224.617537313432	-230.96100303087152
5902.299999999999	16268.3896484375	16297.17723880597	-187.81444202509618
5903.149999999999	16268.3896484375	16372.526119402984	-144.66788101936703
5903.999999999999	16268.3896484375	16309.17723880597	-101.5213200135917
5904.8499999999985	16268.3896484375	16328.679104477613	-58.37475900786255
5905.699999999999	16268.3896484375	16423.050373134327	-15.22819800208723
5906.549999999999	16268.3896484375	16324.111940298508	27.918363003688093
5907.4	16268.3896484375	16316.5	71.06492400946341
5908.249999999998	16268.3896484375	16369.475746268658	114.2114850151464
5909.0999999999985	16268.3896484375	16240.889925373134	157.3580460209217
5909.949999999999	16268.3896484375	16255.96828358209	200.50460702669704
5910.799999999999	16268.3896484375	16366.070895522387	243.65116803247236
5911.65	16268.3896484375	16260.759328358208	286.79772903824767
5912.499999999999	16268.3896484375	16225.320895522387	329.9442900439769
5913.3499999999985	16268.3896484375	16341.414179104477	373.09085104970603
5914.199999999999	16268.3896484375	16246.069029850747	416.23741205548134
