vhel	wav	cont	flux
-362.5684806062656	7127.149999999998	3343.91015625	3280.5746753246754
-326.85779595793895	7127.999999999997	3343.91015625	3299.47113997114
-291.1471113095741	7128.849999999998	3343.91015625	3313.7395382395384
-255.43642666120923	7129.699999999998	3343.91015625	3334.219336219336
-219.72574201288256	7130.549999999997	3343.91015625	3373.1940836940835
-184.01505736451767	7131.399999999998	3343.91015625	3463.3214285714284
-148.3043727161528	7132.249999999998	3343.91015625	3776.0779220779223
-112.59368806782615	7133.099999999998	3343.91015625	5411.256854256854
-76.8830034194995	7133.949999999997	3343.91015625	20763.203463203463
-41.172318771134634	7134.799999999997	3343.91015625	86231.57864357864
-5.461634122769766	7135.649999999998	3343.91015625	163679.4805194805
30.249050525595102	7136.499999999998	3343.91015625	168641.75468975469
65.95973517395997	7137.3499999999985	3343.91015625	96815.84992784992
101.67041982228663	7138.199999999998	3343.91015625	24536.528138528138
137.38110447061328	7139.049999999997	3343.91015625	5385.444444444444
173.09178911897817	7139.899999999998	3343.91015625	3679.709595959596
208.80247376734303	7140.749999999998	3343.91015625	3452.3290043290044
244.5131584156697	7141.599999999998	3343.91015625	3381.9549062049064
280.22384306403455	7142.449999999998	3343.91015625	3376.377705627706
315.9345277123994	7143.299999999998	3343.91015625	3362.3629148629147
351.6452123607261	7144.149999999998	3343.91015625	3318.157287157287
