wav	cont	flux	vhel
5519.799999999998	nan	5122.701698513801	-466.3582842776177
5520.649999999999	nan	4470.56263269639	-420.26473292458445
5521.499999999999	nan	4335.624203821656	-374.1711815715512
5522.3499999999985	nan	4303.261146496815	-328.07763021856726
5523.199999999998	nan	4306.964260438783	-281.9840788655833
5524.049999999998	nan	4311.025123849965	-235.89052751255005
5524.899999999999	nan	4294.928167020524	-189.7969761595168
5525.749999999998	nan	4308.217975937721	-143.70342480653287
5526.5999999999985	nan	4336.875796178344	-97.6098734534996
5527.449999999999	nan	4337.595187544232	-51.51632210046635
5528.299999999999	nan	4332.048124557678	-5.422770747433085
5529.149999999998	nan	4317.565817409766	40.670780605501534
5529.999999999998	nan	4297.412951167728	86.7643319585348
5530.8499999999985	nan	4301.3669497523	132.85788331156806
5531.699999999999	nan	4303.679051663128	178.9514346646013
5532.549999999998	nan	4281.756900212315	225.04498601758527
5533.399999999999	nan	4289.17551309271	271.1385373706185
5534.249999999998	nan	4314.356334041047	317.23208872360243
5535.0999999999985	nan	4392.289101203114	363.3256400766357
5535.949999999998	nan	4883.543878273178	409.4191914296196
5536.799999999998	nan	6328.254777070064	455.5127427826529
