flux	cont	vhel	wav
8795.3583984375	8539.927734375	-390.3415106404431	6303.499999999999
8523.912109375	8539.927734375	-349.9706033138162	6304.349999999999
8431.923828125	8539.927734375	-309.5996959871892	6305.2
8481.0791015625	8539.927734375	-269.22878866064866	6306.049999999998
8476.2880859375	8539.927734375	-228.8578813340217	6306.899999999999
8467.4091796875	8539.927734375	-188.48697400739476	6307.749999999999
8935.0400390625	8539.927734375	-148.11606668076774	6308.599999999999
9060.5595703125	8539.927734375	-107.74515935418398	6309.449999999999
11239.3056640625	8539.927734375	-67.37425202755702	6310.299999999999
18926.345703125	8539.927734375	-27.003344700973233	6311.149999999999
25965.60546875	8539.927734375	13.367562625653743	6311.999999999999
25027.962890625	8539.927734375	53.73846995223752	6312.8499999999985
17637.890625	8539.927734375	94.10937727886449	6313.699999999999
10702.0205078125	8539.927734375	134.48028460549148	6314.549999999999
8636.3583984375	8539.927734375	174.8511919321184	6315.4
8567.0849609375	8539.927734375	215.22209925865903	6316.249999999998
8501.392578125	8539.927734375	255.59300658528596	6317.0999999999985
8407.017578125	8539.927734375	295.963913911913	6317.949999999999
8391.9873046875	8539.927734375	336.33482123854003	6318.799999999999
8422.974609375	8539.927734375	376.7057285651237	6319.649999999999
8386.6640625	8539.927734375	417.07663589175075	6320.499999999999
