flux	cont	vhel	wav
6775.82373046875	6548.0	-301.5595539806169	7991.599999999999
6885.4267578125	6548.0	-269.70692384443873	7992.449999999999
6841.505859375	6548.0	-237.85429370822644	7993.299999999999
6663.28662109375	6548.0	-206.0016635720142	7994.15
6541.30517578125	6548.0	-174.149033435836	7994.999999999999
6488.69384765625	6548.0	-142.29640329965784	7995.8499999999985
6407.53271484375	6548.0	-110.44377316344554	7996.699999999999
6453.43017578125	6548.0	-78.59114302723329	7997.549999999999
6384.1259765625	6548.0	-46.738512891020996	7998.4
6305.166015625	6548.0	-14.885882754808726	7999.25
6507.0732421875	6548.0	16.966747381335384	8000.0999999999985
6627.4560546875	6548.0	48.81937751754766	8000.949999999999
6531.35888671875	6548.0	80.67200765375992	8001.799999999999
6448.1484375	6548.0	112.5246377899722	8002.65
6408.677734375	6548.0	144.37726792615038	8003.499999999999
6263.875	6548.0	176.22989806236265	8004.349999999999
6311.2763671875	6548.0	208.08252819857495	8005.2
6356.8583984375	6548.0	239.93515833475314	8006.049999999999
6350.0068359375	6548.0	271.78778847093133	8006.899999999999
6393.29736328125	6548.0	303.64041860714366	8007.749999999999
6361.20556640625	6548.0	335.49304874335587	8008.599999999999
