cont	flux	vhel	wav
7304.134765625	7492.081253319171	-491.0122805294012	5333.649999999999
7304.134765625	7474.127987254381	-443.3139447065806	5334.499999999998
7304.134765625	7435.024960169942	-395.615608883709	5335.3499999999985
7304.134765625	7409.145512480085	-347.9172730608375	5336.199999999999
7304.134765625	7362.96176314392	-300.2189372379659	5337.049999999999
7304.134765625	7343.52575677111	-252.5206014151964	5337.899999999998
7304.134765625	7356.036112586298	-204.82226559232484	5338.749999999998
7304.134765625	7326.09824747743	-157.12392976945327	5339.5999999999985
7304.134765625	7300.6048858204995	-109.4255939465817	5340.449999999999
7304.134765625	7370.410515135422	-61.727258123761175	5341.299999999998
7304.134765625	7420.409984067976	-14.028922300889612	5342.149999999999
7304.134765625	7415.468932554434	33.66941352193092	5342.999999999998
7304.134765625	7404.341476367499	81.36774934480249	5343.8499999999985
7304.134765625	7348.751460435476	129.06608516762302	5344.699999999998
7304.134765625	7333.370685077005	176.76442099049459	5345.549999999998
7304.134765625	7353.49707912905	224.46275681336616	5346.399999999999
7304.134765625	7331.181625066383	272.16109263623775	5347.249999999999
7304.134765625	7301.839086563994	319.8594284591093	5348.099999999999
7304.134765625	7311.415294742433	367.5577642818788	5348.949999999998
7304.134765625	7310.686139139671	415.2561001047503	5349.799999999998
7304.134765625	7292.59160913436	462.9544359276219	5350.649999999999
