vhel	wav	cont	flux
-330.71017783788295	7360.899999999999	4591.1064453125	4592.04673393521
-296.12982955867767	7361.749999999997	4591.1064453125	4592.561338289963
-261.5494812793984	7362.599999999998	4591.1064453125	4592.321826872013
-226.96913300011911	7363.449999999998	4591.1064453125	4587.4922995220395
-192.38878472087686	7364.299999999997	4591.1064453125	4592.654806160383
-157.80843644159762	7365.149999999998	4591.1064453125	4605.2655337227825
-123.22808816231833	7365.999999999998	4591.1064453125	4605.046202867764
-88.64773988307607	7366.849999999998	4591.1064453125	4657.5570897503985
-54.06739160383379	7367.699999999997	4591.1064453125	4794.464152947425
-19.48704332455452	7368.549999999997	4591.1064453125	4896.832713754647
15.09330495472475	7369.399999999998	4591.1064453125	4858.373871481678
49.67365323400402	7370.249999999998	4591.1064453125	4721.91502920871
84.25400151328328	7371.0999999999985	4591.1064453125	4629.166755177907
118.83434979248855	7371.949999999997	4591.1064453125	4614.706850770048
153.41469807176782	7372.799999999997	4591.1064453125	4624.172065852364
187.99504635104708	7373.649999999998	4591.1064453125	4625.499734466277
222.57539463032637	7374.499999999998	4591.1064453125	4612.407859798194
257.15574290956863	7375.349999999998	4591.1064453125	4627.232607541157
291.7360911888479	7376.199999999998	4591.1064453125	4697.014869888476
326.31643946809015	7377.049999999997	4591.1064453125	5009.274030801912
