vhel	cont	wav	flux
-267.2485359391284	5028.70751953125	8537.3	5037.42724609375
-237.4284940802398	5028.70751953125	8538.15	5085.89990234375
-207.60845222141506	5028.70751953125	8538.999999999998	5094.07373046875
-177.7884103625265	5028.70751953125	8539.849999999999	4998.529296875
-147.96836850363798	5028.70751953125	8540.699999999999	5018.9990234375
-118.14832664474939	5028.70751953125	8541.55	5114.92041015625
-88.32828478586084	5028.70751953125	8542.4	5172.51904296875
-58.50824292697229	5028.70751953125	8543.25	5629.7265625
-28.68820106814753	5028.70751953125	8544.099999999999	7687.763671875
1.131840790741022	5028.70751953125	8544.949999999999	11262.0
30.951882649629578	5028.70751953125	8545.8	12975.0341796875
60.77192450851813	5028.70751953125	8546.65	11093.662109375
90.59196636734288	5028.70751953125	8547.499999999998	7462.8583984375
120.41200822623142	5028.70751953125	8548.349999999999	5550.26318359375
150.23205008511997	5028.70751953125	8549.199999999999	5207.77587890625
180.05209194394473	5028.70751953125	8550.049999999997	5073.04638671875
209.87213380283328	5028.70751953125	8550.899999999998	4967.21240234375
239.69217566172182	5028.70751953125	8551.749999999998	5015.30810546875
269.5122175206104	5028.70751953125	8552.599999999999	5045.16162109375
299.33225937949896	5028.70751953125	8553.449999999999	4986.0478515625
