wav	cont	flux	vhel
5190.849999999999	4774.6484375	5071.195682944091	-469.9574019427127
5191.7	4774.6484375	5166.468506723284	-420.9434397768906
5192.549999999998	4774.6484375	5147.65534324133	-371.9294776111734
5193.399999999999	4774.6484375	4986.725053078556	-322.91551544535133
5194.249999999999	4774.6484375	4860.457891012031	-273.90155327952925
5195.099999999999	4774.6484375	4864.186482661005	-224.88759111370715
5195.95	4774.6484375	4993.502123142251	-175.87362894788507
5196.799999999999	4774.6484375	5480.2661004954	-126.85966678211543
5197.649999999999	4774.6484375	6166.923566878981	-77.84570461634578
5198.499999999999	4774.6484375	6469.898796886058	-28.83174245052369
5199.349999999999	4774.6484375	6355.638358103326	20.1822197152984
5200.199999999999	4774.6484375	6071.355272469922	69.19618188106806
5201.049999999999	4774.6484375	5763.848549186128	118.21014404689015
5201.9	4774.6484375	5349.06263269639	167.22410621271223
5202.75	4774.6484375	4989.351026185421	216.23806837853434
5203.5999999999985	4774.6484375	4825.41330502477	265.2520305442515
5204.449999999999	4774.6484375	4773.315640481245	314.2659927100736
