vhel	wav	cont	flux
-296.4314287160253	8810.149999999998	nan	1860.4692144373673
-267.53616330219006	8810.999999999998	nan	1860.1146496815286
-238.64089788835486	8811.849999999999	nan	1835.7848549186128
-209.74563247458147	8812.699999999997	nan	1828.784677990092
-180.85036706074624	8813.549999999997	nan	1841.79635527247
-151.955101646911	8814.399999999998	nan	1845.6693205944798
-123.05983623307579	8815.249999999998	nan	1851.8271408351027
-94.16457081924057	8816.099999999999	nan	1895.2018754423214
-65.26930540540535	8816.949999999999	nan	1918.800778485492
-36.37403999163196	8817.799999999997	nan	1900.384465675867
-7.478774577796738	8818.649999999998	nan	1884.7988322717622
21.416490836038484	8819.499999999998	nan	1898.0481245576786
50.31175624987371	8820.349999999999	nan	1901.238676574664
79.20702166370893	8821.199999999999	nan	1903.5486553432413
108.10228707754415	8822.05	nan	1897.5297239915074
136.99755249131755	8822.899999999998	nan	1914.3977353149328
165.89281790515275	8823.749999999998	nan	2054.5281316348196
194.788083318988	8824.599999999999	nan	2460.374026893135
223.6833487328232	8825.449999999999	nan	3253.7519462137298
252.57861414665842	8826.3	nan	3677.82059447983
281.47387956043184	8827.149999999998	nan	3292.0920028308565
