flux	cont	vhel	wav
9951.154296875	9973.6240234375	-410.36504304965865	5803.699999999999
9966.5009765625	9973.6240234375	-366.5204276610538	5804.549999999999
9947.20703125	9973.6240234375	-322.67581227244915	5805.4
9894.037109375	9973.6240234375	-278.8311968838913	5806.249999999999
9972.595703125	9973.6240234375	-234.98658149533355	5807.0999999999985
9931.2607421875	9973.6240234375	-191.1419661067288	5807.949999999999
9834.1123046875	9973.6240234375	-147.29735071812408	5808.799999999999
9864.7001953125	9973.6240234375	-103.45273532956625	5809.649999999999
9816.6787109375	9973.6240234375	-59.6081199409615	5810.499999999999
9724.828125	9973.6240234375	-15.76350455235677	5811.349999999999
9916.865234375	9973.6240234375	28.081110836247966	5812.2
9790.88671875	9973.6240234375	71.92572622475886	5813.049999999998
9840.3642578125	9973.6240234375	115.77034161336361	5813.899999999999
9861.7216796875	9973.6240234375	159.61495700196832	5814.749999999999
9866.0537109375	9973.6240234375	203.45957239057307	5815.599999999999
9865.2392578125	9973.6240234375	247.3041877791309	5816.449999999999
9916.583984375	9973.6240234375	291.14880316773565	5817.299999999999
9882.1689453125	9973.6240234375	334.9934185562935	5818.149999999999
9997.1796875	9973.6240234375	378.8380339448982	5818.999999999999
10108.130859375	9973.6240234375	422.682649333456	5819.8499999999985
10005.126953125	9973.6240234375	466.5272647220607	5820.699999999999
