flux	vhel	wav	cont
18102.456	-375.70232545890065	6654.549999999999	18372.0703125
18597.956	-337.4571785558841	6655.4	18372.0703125
18419.246	-299.2120316528675	6656.25	18372.0703125
18289.622	-260.9668847498919	6657.099999999999	18372.0703125
18005.368	-222.72173784687533	6657.95	18372.0703125
18073.648	-184.47659094389968	6658.799999999999	18372.0703125
17999.21	-146.2314440408831	6659.65	18372.0703125
18339.542	-107.98629713790746	6660.499999999999	18372.0703125
18194.144	-69.7411502348909	6661.349999999999	18372.0703125
17991.152	-31.49600333187433	6662.2	18372.0703125
18507.504	6.749143571142234	6663.05	18372.0703125
18194.302	44.994290474076955	6663.899999999999	18372.0703125
17843.584	83.23943737709352	6664.749999999999	18372.0703125
18153.744	121.48458428011007	6665.599999999999	18372.0703125
18453.222	159.72973118312663	6666.45	18372.0703125
18237.56	197.97487808610228	6667.299999999999	18372.0703125
18097.64	236.22002498911885	6668.15	18372.0703125
18316.508	274.46517189209453	6668.999999999999	18372.0703125
18075.532	312.71031879511105	6669.849999999999	18372.0703125
18396.79	350.9554656980867	6670.699999999999	18372.0703125
18279.838	389.2006126011033	6671.549999999999	18372.0703125
