vhel	wav	cont	flux
-290.6445667893723	8686.899999999998	1919.0576171875	2179.073779193206
-261.3387682400235	8687.749999999998	1919.0576171875	2059.8936659589526
-232.0329696906747	8688.599999999999	1919.0576171875	1845.8740268931351
-202.7271711413259	8689.449999999999	1919.0576171875	1741.6668435951876
-173.4213725919771	8690.3	1919.0576171875	1764.5095541401274
-144.1155740426283	8691.15	1919.0576171875	1798.5127388535032
-114.80977549327952	8692.0	1919.0576171875	1792.4541755130927
-85.50397694399342	8692.849999999999	1919.0576171875	1792.1717975937722
-56.198178394644636	8693.699999999999	1919.0576171875	1801.3184713375797
-26.892379845295842	8694.55	1919.0576171875	1801.4663835810334
2.413418704052951	8695.4	1919.0576171875	1839.4069355980184
31.719217253339032	8696.249999999998	1919.0576171875	1866.9065817409767
61.02501580268782	8697.099999999999	1919.0576171875	1836.0748407643312
90.33081435203661	8697.949999999999	1919.0576171875	1810.4021585279547
119.63661290138542	8698.8	1919.0576171875	1819.559447983015
148.9424114506715	8699.649999999998	1919.0576171875	1808.895966029724
178.2482100000203	8700.499999999998	1919.0576171875	1788.592533616419
207.5540085493691	8701.349999999999	1919.0576171875	1807.5877565463552
236.85980709871788	8702.199999999999	1919.0576171875	1881.386058032555
266.165605648004	8703.049999999997	1919.0576171875	2039.656227883935
295.47140419735274	8703.899999999998	1919.0576171875	2181.125619249823
