vhel	wav	cont	flux
-299.78278758757006	8671.599999999999	1854.919921875	1815.1809978768576
-270.4261782039892	8672.449999999999	1854.919921875	1799.6599433828733
-241.06956882040834	8673.3	1854.919921875	1839.929228591649
-211.71295943682753	8674.15	1854.919921875	1906.6505661712667
-182.3563500533095	8674.999999999998	1854.919921875	1909.0481245576786
-152.99974066972868	8675.849999999999	1854.919921875	1844.2995399858457
-123.64313128614783	8676.699999999999	1854.919921875	1798.1990445859872
-94.286521902567	8677.55	1854.919921875	1786.1123496107573
-64.929912519049	8678.399999999998	1854.919921875	1813.6135881104035
-35.573303135468166	8679.249999999998	1854.919921875	1969.890481245577
-6.216693751887331	8680.099999999999	1854.919921875	2243.564932767162
23.1399156316935	8680.949999999999	1854.919921875	2354.1767515923566
52.49652501527433	8681.8	1854.919921875	2250.206475583864
81.85313439879235	8682.649999999998	1854.919921875	2138.8678343949045
111.20974378237318	8683.499999999998	1854.919921875	2231.186659589526
140.566353165954	8684.349999999999	1854.919921875	2317.2825548478413
169.92296254953484	8685.199999999999	1854.919921875	2266.91932059448
199.27957193311568	8686.05	1854.919921875	2206.530608634112
228.63618131663367	8686.899999999998	1854.919921875	2179.073779193206
257.9927907002145	8687.749999999998	1854.919921875	2059.8936659589526
287.34940008379533	8688.599999999999	1854.919921875	1845.8740268931351
