vhel	wav	cont	flux
-272.72977787286516	9115.299999999997	2504.476318359375	2580.606536284097
-244.799619897931	9116.149999999998	2504.476318359375	2538.4068450849204
-216.86946192299686	9116.999999999998	2504.476318359375	2457.4498198661863
-188.93930394806273	9117.849999999999	2504.476318359375	2404.5764282038085
-161.0091459731286	9118.699999999999	2504.476318359375	2450.0501801338137
-133.07898799825423	9119.549999999997	2504.476318359375	2548.4768399382397
-105.1488300233201	9120.399999999998	2504.476318359375	2610.805198147195
-77.21867204838598	9121.249999999998	2504.476318359375	2651.046062789501
-49.28851407345185	9122.099999999999	2504.476318359375	2716.582604220278
-21.358356098517717	9122.949999999999	2504.476318359375	2896.2902727740607
6.571801876416416	9123.8	2504.476318359375	3131.894750386001
34.50195985129078	9124.649999999998	2504.476318359375	3161.1340710241893
62.4321178262249	9125.499999999998	2504.476318359375	2938.6109109624294
90.36227580115904	9126.349999999999	2504.476318359375	2683.3147195059187
118.29243377609318	9127.199999999999	2504.476318359375	2577.2205352547608
146.22259175096755	9128.049999999997	2504.476318359375	2525.351775604735
174.15274972590169	9128.899999999998	2504.476318359375	2463.070766855378
202.0829077008358	9129.749999999998	2504.476318359375	2454.9042717447246
230.01306567576992	9130.599999999999	2504.476318359375	2501.7658260422027
257.94322365064426	9131.449999999997	2504.476318359375	2562.1420483787956
285.8733816255784	9132.299999999997	2504.476318359375	2631.793618116315
