vhel	cont	wav	flux
-476.1982747263283	13960.9990234375	5032.749999999998	14072.955078125
-425.6483693895005	13960.9990234375	5033.5999999999985	14030.736328125
-375.0984640526727	13960.9990234375	5034.449999999999	14026.0546875
-324.5485587158448	13960.9990234375	5035.299999999999	13845.837890625
-273.998653379017	13960.9990234375	5036.15	13829.416015625
-223.44874804224332	13960.9990234375	5036.999999999999	13970.2451171875
-172.89884270546963	13960.9990234375	5037.8499999999985	13778.2958984375
-122.34893736864181	13960.9990234375	5038.699999999999	13796.6962890625
-71.79903203181401	13960.9990234375	5039.549999999999	14202.2119140625
-21.249126695040285	13960.9990234375	5040.399999999999	14373.7412109375
29.300778641787517	13960.9990234375	5041.249999999999	14550.478515625
79.85068397861534	13960.9990234375	5042.099999999999	14517.6884765625
130.40058931544314	13960.9990234375	5042.95	13990.0517578125
180.95049465216277	13960.9990234375	5043.799999999998	13693.265625
231.50039998899058	13960.9990234375	5044.649999999999	13966.412109375
282.05030532581844	13960.9990234375	5045.499999999999	13920.2080078125
332.60021066264625	13960.9990234375	5046.349999999999	14299.044921875
383.150115999474	13960.9990234375	5047.2	14927.408203125
433.70002133624774	13960.9990234375	5048.049999999999	14883.2177734375
484.24992667302143	13960.9990234375	5048.899999999999	14490.7470703125
534.7998320098493	13960.9990234375	5049.749999999999	14094.353515625
