flux	vhel	wav	cont
2084.3010461760464	-269.93960630456985	9220.699999999997	2127.72705078125
2062.6419552669554	-242.32845523851734	9221.549999999997	2127.72705078125
2083.753787878788	-214.71730417246482	9222.399999999998	2127.72705078125
2141.8641774891776	-187.10615310641234	9223.249999999998	2127.72705078125
2222.2299783549784	-159.49500204035985	9224.099999999999	2127.72705078125
2331.2061688311687	-131.8838509743074	9224.949999999999	2127.72705078125
2710.8571428571427	-104.27269990831398	9225.799999999997	2127.72705078125
4188.207070707071	-76.6615488422615	9226.649999999998	2127.72705078125
10024.8556998557	-49.05039777620901	9227.499999999998	2127.72705078125
24304.640692640693	-21.439246710156528	9228.349999999999	2127.72705078125
37172.4531024531	6.171904355895959	9229.199999999999	2127.72705078125
35079.87012987013	33.78305542194845	9230.05	2127.72705078125
19899.71284271284	61.394206487941844	9230.899999999998	2127.72705078125
6967.475468975469	89.00535755399433	9231.749999999998	2127.72705078125
3005.2871572871572	116.6165086200468	9232.599999999999	2127.72705078125
2329.3676046176047	144.2276596860993	9233.449999999999	2127.72705078125
2170.035173160173	171.83881075209268	9234.299999999997	2127.72705078125
2140.432359307359	199.44996181814517	9235.149999999998	2127.72705078125
2149.191738816739	227.06111288419768	9235.999999999998	2127.72705078125
2135.025072150072	254.67226395025014	9236.849999999999	2127.72705078125
2087.7950937950936	282.2834150162435	9237.699999999997	2127.72705078125
