vhel	wav	cont	flux
-334.3943070059899	7522.399999999998	10275.740234375	10449.463619402984
-300.55678784466454	7523.249999999998	10275.740234375	10544.17630597015
-266.7192686833754	7524.099999999998	10275.740234375	10391.828358208955
-232.88174952205003	7524.949999999998	10275.740234375	10322.799440298508
-199.04423036076088	7525.799999999997	10275.740234375	10345.293843283582
-165.2067111994355	7526.649999999998	10275.740234375	10222.403917910447
-131.36919203814634	7527.499999999997	10275.740234375	10251.079291044776
-97.53167287682098	7528.349999999998	10275.740234375	10369.009328358208
-63.69415371549562	7529.199999999998	10275.740234375	10369.021455223881
-29.85663455417025	7530.049999999998	10275.740234375	10530.268656716418
3.9808846070827033	7530.899999999997	10275.740234375	10699.075559701492
37.81840376840807	7531.749999999997	10275.740234375	10493.788246268658
71.65592292973344	7532.599999999998	10275.740234375	10266.732276119403
105.49344209105878	7533.449999999998	10275.740234375	10327.973880597016
139.33096125238416	7534.299999999998	10275.740234375	10300.21921641791
173.1684804136733	7535.149999999998	10275.740234375	10222.872201492537
207.0059995749625	7535.999999999997	10275.740234375	10313.500932835821
240.84351873628785	7536.849999999998	10275.740234375	10287.584888059702
274.68103789761324	7537.699999999998	10275.740234375	10179.162313432837
308.5185570589024	7538.549999999997	10275.740234375	10285.189365671642
342.35607622022775	7539.399999999998	10275.740234375	10313.263059701492
