vhel	cont	wav	flux
-326.3293044552309	6726.48828125	7369.399999999998	7159.33935546875
-291.79020701057453	6726.48828125	7370.249999999998	6764.0810546875
-257.25110956591817	6726.48828125	7371.0999999999985	6582.18994140625
-222.71201212133573	6726.48828125	7371.949999999997	6609.224609375
-188.1729146766794	6726.48828125	7372.799999999997	6652.14453125
-153.63381723202303	6726.48828125	7373.649999999998	6691.591796875
-119.09471978736666	6726.48828125	7374.499999999998	6663.447265625
-84.55562234274724	6726.48828125	7375.349999999998	6648.8798828125
-50.01652489809087	6726.48828125	7376.199999999998	6761.79296875
-15.477427453471458	6726.48828125	7377.049999999997	7157.83154296875
19.061669991184907	6726.48828125	7377.899999999998	7595.912109375
53.600767435804315	6726.48828125	7378.749999999997	7674.1005859375
88.13986488046068	6726.48828125	7379.599999999998	7284.90625
122.67896232511704	6726.48828125	7380.449999999998	6730.02001953125
157.2180597697734	6726.48828125	7381.299999999998	6620.11767578125
191.75715721442978	6726.48828125	7382.149999999999	6619.23291015625
226.29625465901222	6726.48828125	7382.999999999997	6527.67578125
260.8353521036686	6726.48828125	7383.849999999998	6601.79833984375
295.374449548325	6726.48828125	7384.699999999998	6701.68994140625
329.91354699298137	6726.48828125	7385.549999999998	6723.30908203125
364.4526444376008	6726.48828125	7386.399999999998	6730.74072265625
