flux	cont	vhel	wav
7738.015625	7791.029296875	-356.382533311254	6669.849999999999
7906.05712890625	7791.029296875	-318.2247217466985	6670.699999999999
7819.33349609375	7791.029296875	-280.0669101821021	6671.549999999999
7827.41455078125	7791.029296875	-241.9090986175058	6672.4
7898.7587890625	7791.029296875	-203.75128705290948	6673.25
7939.80419921875	7791.029296875	-165.5934754883948	6674.0999999999985
8012.71826171875	7791.029296875	-127.43566392379846	6674.949999999999
9380.375	7791.029296875	-89.2778523592021	6675.799999999999
17889.619140625	7791.029296875	-51.12004079460575	6676.65
36367.7734375	7791.029296875	-12.9622292300094	6677.5
47015.40625	7791.029296875	25.195582334546117	6678.349999999999
39093.125	7791.029296875	63.35339389914246	6679.2
20189.12890625	7791.029296875	101.51120546369798	6680.049999999999
9865.0458984375	7791.029296875	139.66901702829432	6680.9
8056.85791015625	7791.029296875	177.82682859284984	6681.749999999999
7785.6962890625	7791.029296875	215.9846401574462	6682.599999999999
7745.8154296875	7791.029296875	254.14245172204252	6683.45
7773.03955078125	7791.029296875	292.3002632866389	6684.3
7688.4453125	7791.029296875	330.4580748511536	6685.149999999999
7663.27587890625	7791.029296875	368.61588641574997	6685.999999999999
7787.17236328125	7791.029296875	406.7736979803463	6686.849999999999
