flux	cont	vhel	wav
9519.431640625	9481.078125	-412.0174091894575	5949.049999999999
9570.720703125	9481.078125	-369.2442622467311	5949.9
9603.0263671875	9481.078125	-326.47111530409626	5950.749999999998
9514.6484375	9481.078125	-283.6979683613699	5951.5999999999985
9670.390625	9481.078125	-240.92482141864352	5952.449999999999
9603.0068359375	9481.078125	-198.1516744759171	5953.299999999999
9710.056640625	9481.078125	-155.37852753319075	5954.15
9648.30859375	9481.078125	-112.6053805905101	5954.999999999999
9622.119140625	9481.078125	-69.83223364782948	5955.8499999999985
9730.3623046875	9481.078125	-27.059086705103073	5956.699999999999
10069.4140625	9481.078125	15.714060237623315	5957.549999999999
10276.87109375	9481.078125	58.48720718030395	5958.399999999999
9961.43359375	9481.078125	101.26035412303033	5959.249999999999
9785.12890625	9481.078125	144.03350106575672	5960.099999999999
9670.1005859375	9481.078125	186.80664800843738	5960.949999999999
9447.0048828125	9481.078125	229.57979495111798	5961.799999999998
9455.130859375	9481.078125	272.3529418938444	5962.649999999999
9561.2060546875	9481.078125	315.1260888365708	5963.499999999999
9442.5732421875	9481.078125	357.8992357792972	5964.349999999999
9431.1240234375	9481.078125	400.67238272202354	5965.2
9515.357421875	9481.078125	443.4455296647042	5966.049999999999
