vhel	cont	wav	flux
-505.6358835320559	16708.1953125	4668.0999999999985	16894.640625
-451.1426177244607	16708.1953125	4668.949999999999	17009.1015625
-396.64935191686544	16708.1953125	4669.799999999999	16694.732421875
-342.1560861093285	16708.1953125	4670.649999999999	16848.90625
-287.66282030173335	16708.1953125	4671.499999999999	16990.94921875
-233.1695544941381	16708.1953125	4672.349999999999	16656.5625
-178.6762886866012	16708.1953125	4673.199999999999	16710.40625
-124.18302287900596	16708.1953125	4674.049999999999	16826.5546875
-69.68975707141074	16708.1953125	4674.9	16576.236328125
-15.196491263873837	16708.1953125	4675.749999999999	16777.869140625
39.29677454372139	16708.1953125	4676.599999999999	16961.138671875
93.79004035125828	16708.1953125	4677.449999999999	16626.521484375
148.28330615885352	16708.1953125	4678.299999999999	16633.380859375
202.77657196639043	16708.1953125	4679.149999999999	16814.720703125
257.2698377739856	16708.1953125	4679.999999999999	16578.634765625
311.76310358158094	16708.1953125	4680.849999999999	16713.166015625
366.2563693891178	16708.1953125	4681.699999999999	16724.748046875
420.74963519671303	16708.1953125	4682.549999999999	16433.044921875
475.24290100430824	16708.1953125	4683.4	16585.091796875
529.7361668118451	16708.1953125	4684.249999999999	16475.302734375
