flux	cont	vhel	wav
10808.7822265625	10837.662109375	-421.78241881666935	5658.3499999999985
10839.79296875	10837.662109375	-376.8132512039477	5659.199999999999
10819.42578125	10837.662109375	-331.8440835912261	5660.049999999999
10813.0908203125	10837.662109375	-286.87491597860077	5660.899999999998
10882.439453125	10837.662109375	-241.90574836587913	5661.749999999998
10820.6708984375	10837.662109375	-196.93658075315753	5662.5999999999985
10803.73046875	10837.662109375	-151.96741314043592	5663.449999999999
10890.4462890625	10837.662109375	-106.9982455277624	5664.299999999998
10982.4599609375	10837.662109375	-62.02907791504079	5665.149999999999
10991.1015625	10837.662109375	-17.05991030231917	5665.999999999999
11044.140625	10837.662109375	27.90925731030621	5666.849999999998
11074.767578125	10837.662109375	72.87842492302782	5667.699999999998
10922.0068359375	10837.662109375	117.84759253574943	5668.549999999998
10885.9501953125	10837.662109375	162.81676014847105	5669.399999999999
10888.6396484375	10837.662109375	207.78592776119265	5670.249999999999
10812.6171875	10837.662109375	252.75509537386614	5671.0999999999985
10848.8212890625	10837.662109375	297.7242629865397	5671.949999999998
10966.1826171875	10837.662109375	342.6934305992613	5672.799999999998
10860.05859375	10837.662109375	387.6625982119829	5673.649999999999
10684.0703125	10837.662109375	432.6317658246564	5674.499999999998
10932.1796875	10837.662109375	477.60093343737805	5675.3499999999985
