wav	cont	flux	vhel
5103.299999999999	5052.19873046875	5080.617834394904	-488.54693613196787
5104.149999999999	5052.19873046875	5060.97593772116	-438.6952079552734
5104.999999999999	5052.19873046875	5041.8970276008495	-388.84347977852565
5105.849999999999	5052.19873046875	5054.387827317763	-338.99175160177793
5106.7	5052.19873046875	5028.191790516631	-289.14002342503017
5107.549999999998	5052.19873046875	5020.726822363765	-239.28829524838915
5108.399999999999	5052.19873046875	5040.783085633404	-189.4365670716414
5109.249999999999	5052.19873046875	5031.246284501061	-139.58483889489366
5110.099999999999	5052.19873046875	5054.898796886058	-89.73311071814592
5110.95	5052.19873046875	5136.174097664543	-39.88138254139819
5111.799999999999	5052.19873046875	5172.873673036093	9.970345635296207
5112.649999999999	5052.19873046875	5162.142604387827	59.8220738119906
5113.499999999999	5052.19873046875	5118.587402689313	109.67380198873835
5114.349999999999	5052.19873046875	5055.1203113941965	159.5255301654861
5115.199999999999	5052.19873046875	5038.755130927106	209.37725834218048
5116.049999999999	5052.19873046875	5056.533970276008	259.2289865189282
5116.9	5052.19873046875	5046.4472753007785	309.08071469567597
5117.749999999999	5052.19873046875	5043.295470629865	358.93244287237036
5118.5999999999985	5052.19873046875	5064.545647558386	408.78417104906475
5119.449999999999	5052.19873046875	5046.397381457891	458.63589922581247
5120.299999999999	5052.19873046875	5041.5714791224345	508.48762740256024
