flux	cont	vhel	wav
6767.22509765625	6736.7353515625	-315.8692877825398	7403.399999999999
6804.02294921875	6736.7353515625	-281.48760967217464	7404.249999999997
6672.37451171875	6736.7353515625	-247.1059315617359	7405.099999999998
6688.3671875	6736.7353515625	-212.7242534512971	7405.949999999998
6518.25244140625	6736.7353515625	-178.34257534085833	7406.799999999998
6565.6611328125	6736.7353515625	-143.9608972304564	7407.649999999998
6557.42138671875	6736.7353515625	-109.57921912001758	7408.499999999998
6511.208984375	6736.7353515625	-75.19754100961562	7409.349999999998
6697.2705078125	6736.7353515625	-40.81586289921363	7410.199999999997
6888.72021484375	6736.7353515625	-6.434184788774861	7411.049999999997
7087.34814453125	6736.7353515625	27.94749332166391	7411.899999999998
7053.82080078125	6736.7353515625	62.32917143210268	7412.749999999998
6905.728515625	6736.7353515625	96.71084954254142	7413.5999999999985
6763.88330078125	6736.7353515625	131.09252765290663	7414.449999999997
6665.26416015625	6736.7353515625	165.47420576334542	7415.299999999997
6562.38720703125	6736.7353515625	199.85588387378417	7416.149999999998
6648.42333984375	6736.7353515625	234.23756198422294	7416.999999999998
6710.37939453125	6736.7353515625	268.61924009462496	7417.849999999998
6701.51025390625	6736.7353515625	303.0009182050637	7418.699999999998
6703.763671875	6736.7353515625	337.3825963154657	7419.549999999997
6708.24755859375	6736.7353515625	371.76427442590443	7420.399999999998
