flux	cont	vhel	wav
15331.3486328125	15364.1318359375	-527.6333519311136	4805.799999999999
15559.080078125	15364.1318359375	-474.7053656919809	4806.649999999999
15239.2392578125	15364.1318359375	-421.7773794527915	4807.499999999999
15253.5517578125	15364.1318359375	-368.8493932136022	4808.349999999999
15553.8134765625	15364.1318359375	-315.9214069744129	4809.2
15301.3056640625	15364.1318359375	-262.9934207353368	4810.049999999998
15344.078125	15364.1318359375	-210.06543449614756	4810.899999999999
15525.642578125	15364.1318359375	-157.13744825695824	4811.749999999999
15241.47265625	15364.1318359375	-104.20946201776893	4812.599999999999
15416.3583984375	15364.1318359375	-51.28147577863624	4813.449999999999
15737.5234375	15364.1318359375	1.6465104605530723	4814.299999999999
15566.0859375	15364.1318359375	54.57449669968575	4815.149999999999
15641.1416015625	15364.1318359375	107.50248293887506	4815.999999999999
15653.572265625	15364.1318359375	160.43046917800774	4816.8499999999985
15290.880859375	15364.1318359375	213.35845541719706	4817.699999999999
15389.6923828125	15364.1318359375	266.2864416563864	4818.549999999999
15534.583984375	15364.1318359375	319.2144278955758	4819.4
15241.71484375	15364.1318359375	372.142414134765	4820.25
15062.3525390625	15364.1318359375	425.0704003738411	4821.0999999999985
15431.8115234375	15364.1318359375	477.9983866130304	4821.949999999999
15244.443359375	15364.1318359375	530.9263728522196	4822.799999999999
