flux	cont	vhel	wav
9425.5	9577.1728515625	-415.9691136726567	5991.549999999999
9470.4599609375	9577.1728515625	-373.49993109539116	5992.4
9503.33984375	9577.1728515625	-331.0307485182165	5993.249999999998
9579.7978515625	9577.1728515625	-288.56156594095086	5994.0999999999985
9546.4453125	9577.1728515625	-246.09238336368531	5994.949999999999
9479.560546875	9577.1728515625	-203.6232007864197	5995.799999999999
9599.8125	9577.1728515625	-161.1540182091541	5996.65
9560.244140625	9577.1728515625	-118.68483563193391	5997.499999999999
9516.76171875	9577.1728515625	-76.21565305471375	5998.3499999999985
9617.4287109375	9577.1728515625	-33.74647047744813	5999.199999999999
9638.3203125	9577.1728515625	8.72271209981747	6000.049999999999
9618.44921875	9577.1728515625	51.19189467703763	6000.899999999999
9610.6650390625	9577.1728515625	93.66107725430322	6001.749999999999
9544.412109375	9577.1728515625	136.13025983156885	6002.599999999999
9561.41015625	9577.1728515625	178.599442408789	6003.449999999999
9474.8662109375	9577.1728515625	221.06862498600916	6004.299999999998
9536.109375	9577.1728515625	263.5378075632748	6005.149999999999
9556.4208984375	9577.1728515625	306.00699014054044	6005.999999999999
9521.9873046875	9577.1728515625	348.476172717806	6006.849999999999
9495.96484375	9577.1728515625	390.94535529507164	6007.7
9531.4736328125	9577.1728515625	433.4145378722918	6008.549999999999
