wav	cont	flux	vhel
5529.149999999998	4262.05126953125	4278.623376623376	-472.59748465851317
5529.999999999998	4262.05126953125	4264.603896103896	-426.5828383859126
5530.8499999999985	4262.05126953125	4269.376262626262	-380.5681921133121
5531.699999999999	4262.05126953125	4270.525613275613	-334.55354584071154
5532.549999999998	4262.05126953125	4248.896464646465	-288.5388995681603
5533.399999999999	4262.05126953125	4256.7741702741705	-242.52425329555976
5534.249999999998	4262.05126953125	4285.032106782107	-196.50960702300844
5535.0999999999985	4262.05126953125	4375.695165945166	-150.4949607504079
5535.949999999998	4262.05126953125	4921.084415584415	-104.4803144778566
5536.799999999998	4262.05126953125	6516.114718614718	-58.46566820525607
5537.649999999999	4262.05126953125	8166.719336219337	-12.451021932655536
5538.499999999999	4262.05126953125	8239.669552669553	33.563624339945
5539.349999999998	4262.05126953125	6641.6255411255415	79.57827061244706
5540.199999999998	4262.05126953125	4971.243145743146	125.5929168850476
5541.049999999998	4262.05126953125	4375.861471861472	171.60756315764812
5541.899999999999	4262.05126953125	4282.464285714285	217.62220943024866
5542.749999999999	4262.05126953125	4260.424963924964	263.6368557028492
5543.5999999999985	4262.05126953125	4262.810606060606	309.6515019754005
5544.449999999998	4262.05126953125	4265.17821067821	355.6661482479518
5545.299999999998	4262.05126953125	4252.720057720057	401.6807945205523
5546.149999999999	4262.05126953125	4247.3452380952385	447.69544079315284
