flux	cont	vhel	wav
12061.3798828125	11634.3671875	-447.373446650662	5262.249999999999
12070.9404296875	11634.3671875	-399.02349421818843	5263.099999999999
11914.2626953125	11634.3671875	-350.67354178581826	5263.949999999998
11645.595703125	11634.3671875	-302.3235893533446	5264.799999999998
11540.173828125	11634.3671875	-253.973636920871	5265.649999999999
11699.69140625	11634.3671875	-205.62368448839734	5266.499999999999
11710.7177734375	11634.3671875	-157.27373205597544	5267.3499999999985
11798.00390625	11634.3671875	-108.92377962350182	5268.199999999999
12577.759765625	11634.3671875	-60.573827191079886	5269.049999999998
13605.140625	11634.3671875	-12.223874758606248	5269.899999999999
14014.970703125	11634.3671875	36.126077673815665	5270.749999999998
13632.228515625	11634.3671875	84.4760301062893	5271.5999999999985
12605.98046875	11634.3671875	132.82598253876293	5272.449999999999
11969.19921875	11634.3671875	181.1759349712366	5273.299999999999
11957.2373046875	11634.3671875	229.52588740360676	5274.149999999998
11813.5205078125	11634.3671875	277.8758398360804	5274.999999999998
11633.7998046875	11634.3671875	326.2257922685541	5275.8499999999985
11700.6884765625	11634.3671875	374.5757447010277	5276.699999999999
11645.1279296875	11634.3671875	422.9256971334496	5277.549999999998
11550.8349609375	11634.3671875	471.2756495659233	5278.399999999999
11641.8701171875	11634.3671875	519.6256019983451	5279.249999999998
