flux	vhel	wav	cont
7722.532681420484	-502.83874203293203	4761.599999999999	7887.56103515625
7636.386515697375	-449.4121256919733	4762.449999999999	7887.56103515625
7684.512609366959	-395.9855093509575	4763.299999999999	7887.56103515625
7709.04065877509	-342.5588930099988	4764.149999999999	7887.56103515625
7621.227483273289	-289.1322766689831	4764.999999999999	7887.56103515625
7674.556870818322	-235.70566032796725	4765.849999999999	7887.56103515625
7711.064333504889	-182.27904398700858	4766.699999999999	7887.56103515625
7743.841482243953	-128.85242764599278	4767.549999999999	7887.56103515625
8040.897581060216	-75.42581130503412	4768.399999999999	7887.56103515625
8270.490993309315	-21.999194964018304	4769.249999999999	7887.56103515625
8211.94184251158	31.427421376997508	4770.099999999999	7887.56103515625
8054.020072053526	84.85403771795616	4770.949999999999	7887.56103515625
7814.886258363355	138.28065405897198	4771.799999999999	7887.56103515625
7698.069480185281	191.70727039993062	4772.649999999999	7887.56103515625
7777.951621204324	245.13388674094642	4773.499999999999	7887.56103515625
7789.154915079774	298.5605030819051	4774.3499999999985	7887.56103515625
7748.900669068451	351.9871194229209	4775.199999999999	7887.56103515625
7866.785898095728	405.4137357639367	4776.049999999999	7887.56103515625
7953.362840967576	458.84035210495256	4776.9	7887.56103515625
7981.194544518786	512.2669684459684	4777.75	7887.56103515625
