vhel	wav	cont	flux
-315.65309314976906	8026.45	2949.235595703125	3102.0385704175515
-283.93853887351247	8027.299999999999	2949.235595703125	2960.72788393489
-252.223984597256	8028.149999999999	2949.235595703125	2933.8443029016275
-220.50943032096552	8028.999999999999	2949.235595703125	2941.996992215145
-188.79487604467505	8029.849999999999	2949.235595703125	2927.9476291578203
-157.08032176838458	8030.7	2949.235595703125	2923.8542108987967
-125.3657674920941	8031.55	2949.235595703125	2932.5886411889596
-93.65121321587151	8032.399999999999	2949.235595703125	2931.108634111819
-61.93665893958103	8033.249999999999	2949.235595703125	2925.129688605803
-30.222104663290562	8034.099999999999	2949.235595703125	2958.8287331917904
1.492449612965974	8034.949999999999	2949.235595703125	2984.524062278839
33.20700388925645	8035.799999999999	2949.235595703125	2974.8577494692145
64.92155816554691	8036.65	2949.235595703125	2961.003184713376
96.63611244180345	8037.499999999999	2949.235595703125	2944.96372965322
128.35066671805998	8038.3499999999985	2949.235595703125	2929.027246992215
160.06522099435045	8039.199999999999	2949.235595703125	2925.734607218684
191.77977527064093	8040.049999999999	2949.235595703125	2937.0051309271053
223.49432954693137	8040.9	2949.235595703125	2922.0697098372257
255.20888382322184	8041.75	2949.235595703125	2916.862172682236
286.92343809944447	8042.5999999999985	2949.235595703125	2920.573956121727
318.6379923757349	8043.449999999999	2949.235595703125	2916.5539631988677
