flux	vhel	wav	cont
6036.275624004248	-425.081075924196	5943.949999999999	5998.771484375
5993.804036112586	-382.2707779934305	5944.799999999999	5998.771484375
6011.375464684015	-339.46048006271093	5945.649999999999	5998.771484375
5993.019649495486	-296.6501821319454	5946.499999999999	5998.771484375
5959.317578332449	-253.83988420122577	5947.3499999999985	5998.771484375
5979.828465215082	-211.0295862704603	5948.199999999999	5998.771484375
5964.436537440255	-168.21928833969483	5949.049999999999	5998.771484375
5944.537440254912	-125.40899040892937	5949.9	5998.771484375
6004.34253850239	-82.59869247825553	5950.749999999998	5998.771484375
6037.58682952735	-39.788394547490064	5951.5999999999985	5998.771484375
6044.393520977164	3.021903383275398	5952.449999999999	5998.771484375
6054.433882103027	45.83220131404086	5953.299999999999	5998.771484375
6026.412639405205	88.64249924480632	5954.15	5998.771484375
5984.114710568242	131.45279717552597	5954.999999999999	5998.771484375
6058.171534784918	174.26309510624566	5955.8499999999985	5998.771484375
6281.700477960701	217.0733930370111	5956.699999999999	5998.771484375
6500.833775889538	259.8836909677766	5957.549999999999	5998.771484375
6702.600106213489	302.69398889849623	5958.399999999999	5998.771484375
6544.663834306957	345.5042868292617	5959.249999999999	5998.771484375
6234.038767923526	388.3145847600271	5960.099999999999	5998.771484375
6052.498672331386	431.12488269074686	5960.949999999999	5998.771484375
