wav	cont	flux	vhel
5290.299999999998	4648.89697265625	4677.723991507431	-485.99182361222614
5291.149999999999	4648.89697265625	4665.868365180467	-437.90182942474365
5291.999999999998	4648.89697265625	4683.802547770701	-389.81183523731255
5292.8499999999985	4648.89697265625	4674.599433828733	-341.72184104983006
5293.699999999999	4648.89697265625	4643.634111818825	-293.63184686234763
5294.549999999999	4648.89697265625	4653.86482661005	-245.54185267486517
5295.399999999998	4648.89697265625	4641.827317763624	-197.45185848748557
5296.249999999998	4648.89697265625	4617.329087048833	-149.3618643000031
5297.0999999999985	4648.89697265625	4636.453998584572	-101.27187011252062
5297.949999999999	4648.89697265625	4707.066171266808	-53.181875925038135
5298.799999999998	4648.89697265625	4784.511677282378	-5.09188173760711
5299.649999999999	4648.89697265625	4832.799363057325	42.99811244987537
5300.499999999998	4648.89697265625	4764.549186128804	91.0881066373064
5301.3499999999985	4648.89697265625	4648.835456475584	139.17810082478888
5302.199999999998	4648.89697265625	4624.590587402689	187.26809501221987
5303.049999999998	4648.89697265625	4627.096956829441	235.35808919970236
5303.899999999999	4648.89697265625	4616.3089171974525	283.44808338718485
5304.749999999999	4648.89697265625	4636.805378627035	331.53807757466734
5305.599999999999	4648.89697265625	4639.37296532201	379.62807176214983
5306.449999999998	4648.89697265625	4613.209483368719	427.7180659495294
5307.299999999998	4648.89697265625	4624.088110403397	475.80806013701186
