flux	vhel	wav	cont
4699.924242424242	-497.7466452920633	5183.199999999999	4751.7578125
4711.146464646465	-448.66489952658816	5184.049999999999	4751.7578125
4760.580447330447	-399.583153761113	5184.9	4751.7578125
4788.0	-350.5014079956904	5185.749999999999	4751.7578125
4799.142857142857	-301.4196622302678	5186.5999999999985	4751.7578125
4825.573593073593	-252.33791646479267	5187.449999999999	4751.7578125
4812.20202020202	-203.25617069931755	5188.299999999999	4751.7578125
4818.093434343435	-154.17442493389495	5189.149999999999	4751.7578125
4916.630591630592	-105.09267916841982	5189.999999999999	4751.7578125
5063.107142857143	-56.010933402944694	5190.849999999999	4751.7578125
5170.977272727273	-6.929187637469574	5191.7	4751.7578125
5145.814574314574	42.15255812790052	5192.549999999998	4751.7578125
4962.4029581529585	91.23430389337564	5193.399999999999	4751.7578125
4820.497113997114	140.31604965885077	5194.249999999999	4751.7578125
4814.510101010101	189.3977954243259	5195.099999999999	4751.7578125
4923.224747474747	238.47954118980098	5195.95	4751.7578125
5343.01911976912	287.56128695522364	5196.799999999999	4751.7578125
5938.058441558442	336.6430327206462	5197.649999999999	4751.7578125
6199.606060606061	385.72477848612135	5198.499999999999	4751.7578125
6103.79797979798	434.80652425159644	5199.349999999999	4751.7578125
5867.04797979798	483.8882700170191	5200.199999999999	4751.7578125
