vhel	wav	cont	flux
-309.3640914835815	8509.249999999998	1764.6942138671875	1769.3062770562772
-279.44833747208247	8510.099999999999	1764.6942138671875	1761.6489898989898
-249.53258346058348	8510.949999999999	1764.6942138671875	1777.014971139971
-219.6168294490845	8511.8	1764.6942138671875	1763.4489538239538
-189.70107543764948	8512.649999999998	1764.6942138671875	1752.0494227994227
-159.7853214261505	8513.499999999998	1764.6942138671875	1762.017316017316
-129.86956741465147	8514.349999999999	1764.6942138671875	1752.016774891775
-99.95381340315247	8515.199999999999	1764.6942138671875	1737.3901515151515
-70.03805939165345	8516.05	1764.6942138671875	1764.1341991341992
-40.12230538015445	8516.9	1764.6942138671875	1818.8593073593074
-10.206551368719454	8517.749999999998	1764.6942138671875	1875.433621933622
19.709202642779555	8518.599999999999	1764.6942138671875	1908.6239177489178
49.62495665427857	8519.449999999999	1764.6942138671875	1876.7429653679653
79.54071066577758	8520.3	1764.6942138671875	1797.95202020202
109.45646467727657	8521.15	1764.6942138671875	1771.7954545454545
139.3722186887756	8522.0	1764.6942138671875	1780.4586940836941
169.28797270021056	8522.849999999999	1764.6942138671875	1769.6316738816738
199.20372671170958	8523.699999999999	1764.6942138671875	1766.4806998556999
229.1194807232086	8524.55	1764.6942138671875	1784.6738816738816
259.0352347347076	8525.4	1764.6942138671875	1770.689393939394
288.95098874614257	8526.249999999998	1764.6942138671875	1765.8558802308803
