wav	cont	flux	vhel
4731.8499999999985	26694.23046875	27070.766791044774	-526.1991132302128
4732.699999999999	26694.23046875	27024.78917910448	-472.4407903641322
4733.549999999999	26694.23046875	27812.71082089552	-418.6824674980517
4734.399999999999	26694.23046875	27635.055970149253	-364.9241446320287
4735.249999999999	26694.23046875	27083.652985074626	-311.1658217659481
4736.099999999999	26694.23046875	27208.951492537315	-257.40749889986756
4736.949999999999	26694.23046875	26834.048507462685	-203.64917603384455
4737.799999999999	26694.23046875	26648.231343283584	-149.89085316776402
4738.65	26694.23046875	27427.703358208953	-96.13253030168346
4739.499999999999	26694.23046875	27547.589552238805	-42.37420743566042
4740.349999999999	26694.23046875	27605.503731343284	11.384115430420131
4741.199999999999	26694.23046875	27854.016791044774	65.14243829644316
4742.049999999999	26694.23046875	27052.88432835821	118.90076116252371
4742.899999999999	26694.23046875	26634.003731343284	172.65908402854674
4743.749999999999	26694.23046875	26990.55223880597	226.4174068946273
4744.599999999999	26694.23046875	26620.074626865673	280.17572976070784
4745.449999999999	26694.23046875	26548.63432835821	333.9340526267309
4746.299999999999	26694.23046875	26950.203358208953	387.6923754928114
4747.15	26694.23046875	26544.925373134327	441.45069835889194
4747.999999999999	26694.23046875	26524.15485074627	495.209021224915
4748.849999999999	26694.23046875	26903.223880597016	548.9673440909955
