flux	cont	vhel	wav
7046.33154296875	7047.7490234375	-335.72819333514116	6993.699999999998
7034.44970703125	7047.7490234375	-299.33480562146997	6994.549999999998
7094.666015625	7047.7490234375	-262.9414179078376	6995.399999999998
7117.00244140625	7047.7490234375	-226.54803019420535	6996.249999999997
7046.23486328125	7047.7490234375	-190.15464248053408	6997.099999999998
7021.203125	7047.7490234375	-153.7612547668628	6997.949999999998
7045.478515625	7047.7490234375	-117.36786705319156	6998.799999999998
7058.24853515625	7047.7490234375	-80.97447933955924	6999.649999999998
7110.80322265625	7047.7490234375	-44.581091625926916	7000.499999999997
7506.71142578125	7047.7490234375	-8.187703912255659	7001.349999999998
7956.52734375	7047.7490234375	28.205683801415603	7002.199999999998
7956.03076171875	7047.7490234375	64.59907151504792	7003.049999999997
7503.5087890625	7047.7490234375	100.99245922871917	7003.899999999998
7107.841796875	7047.7490234375	137.38584694239043	7004.749999999998
6995.03857421875	7047.7490234375	173.7792346560617	7005.5999999999985
7033.93505859375	7047.7490234375	210.17262236965507	7006.449999999997
7066.6142578125	7047.7490234375	246.56601008332635	7007.299999999997
7038.3115234375	7047.7490234375	282.9593977969976	7008.149999999998
7029.521484375	7047.7490234375	319.35278551066887	7008.999999999998
7038.4013671875	7047.7490234375	355.74617322434017	7009.8499999999985
7016.2255859375	7047.7490234375	392.1395609379725	7010.699999999998
