wav	cont	flux	vhel
5887.8499999999985	5200.47802734375	5338.3547149122805	-419.4786008548948
5888.699999999999	5200.47802734375	5309.795504385965	-376.2595934940785
5889.549999999999	5200.47802734375	5212.03125	-333.04058613326214
5890.4	5200.47802734375	5155.1869517543855	-289.82157877244583
5891.249999999999	5200.47802734375	5175.622258771929	-246.60257141167577
5892.0999999999985	5200.47802734375	5221.53125	-203.3835640509057
5892.949999999999	5200.47802734375	5283.9161184210525	-160.1645566900894
5893.799999999999	5200.47802734375	5223.839912280701	-116.9455493292731
5894.649999999999	5200.47802734375	5204.006578947368	-73.72654196850303
5895.499999999999	5200.47802734375	5147.797149122807	-30.507534607686726
5896.349999999999	5200.47802734375	5079.679824561404	12.711472753129582
5897.199999999999	5200.47802734375	5065.074013157895	55.93048011389965
5898.049999999998	5200.47802734375	5107.105263157895	99.14948747466971
5898.899999999999	5200.47802734375	5172.844846491228	142.36849483548602
5899.749999999999	5200.47802734375	5178.320175438596	185.58750219630232
5900.599999999999	5200.47802734375	5215.077302631579	228.80650955711866
5901.449999999999	5200.47802734375	5223.933114035088	272.0255169178887
5902.299999999999	5200.47802734375	5173.753289473684	315.244524278705
5903.149999999999	5200.47802734375	5201.034539473684	358.4635316394751
5903.999999999999	5200.47802734375	5218.953399122807	401.6825390002914
5904.8499999999985	5200.47802734375	5184.526315789473	444.90154636106143
