vhel	wav	cont	flux
-336.30075935663376	7764.65	2980.904296875	2979.355272469922
-303.5191486395176	7765.5	2980.904296875	2989.9578910120313
-270.73753792243656	7766.349999999999	2980.904296875	2987.1454352441615
-237.95592720535552	7767.199999999999	2980.904296875	2968.198159943383
-205.17431648823938	7768.049999999999	2980.904296875	2973.4561217268224
-172.39270577112325	7768.9	2980.904296875	2992.325548478415
-139.61109505404218	7769.749999999999	2980.904296875	3060.401981599434
-106.82948433692606	7770.599999999999	2980.904296875	3228.9593064401984
-74.04787361980992	7771.45	2980.904296875	3420.8202406227883
-41.266262902728855	7772.299999999999	2980.904296875	3516.0902335456476
-8.484652185647796	7773.149999999999	2980.904296875	3505.2062986553433
24.296958531468338	7773.999999999999	2980.904296875	3471.6394196744513
57.07856924858447	7774.849999999999	2980.904296875	3371.075371549894
89.86017996570061	7775.7	2980.904296875	3223.2926397735314
122.64179068278168	7776.549999999999	2980.904296875	3083.933121019108
155.42340139986274	7777.399999999999	2980.904296875	3005.324133050248
188.20501211697888	7778.249999999999	2980.904296875	3008.036447275301
220.986622834095	7779.099999999999	2980.904296875	3084.036447275301
253.76823355117605	7779.949999999999	2980.904296875	3101.03432413305
286.54984426829225	7780.799999999999	2980.904296875	3042.6305732484075
319.33145498540836	7781.65	2980.904296875	2991.8853503184714
