wav	vhel	flux	cont
6024.699999999999	-412.44445572689	3799.5488322717624	3801.18359375
6025.549999999998	-370.2061680922411	3805.0541401273886	3801.18359375
6026.399999999999	-327.9678804575471	3795.335102618542	3801.18359375
6027.249999999999	-285.7295928228531	3802.2714083510264	3801.18359375
6028.099999999999	-243.49130518815906	3802.9055201698516	3801.18359375
6028.95	-201.253017553465	3802.2523000707715	3801.18359375
6029.799999999998	-159.01472991886138	3812.6422505307855	3801.18359375
6030.649999999999	-116.77644228416736	3815.110049539986	3801.18359375
6031.499999999999	-74.53815464947333	3812.0774946921442	3801.18359375
6032.3499999999985	-32.29986701482451	3832.153573956122	3801.18359375
6033.199999999999	9.93842061986952	3821.1196036801134	3801.18359375
6034.049999999999	52.17670825456354	3818.5208775654637	3801.18359375
6034.9	94.41499588925755	3819.1956829440905	3801.18359375
6035.749999999998	136.6532835238612	3811.1390658174096	3801.18359375
6036.5999999999985	178.89157115855522	3802.3895966029722	3801.18359375
6037.449999999999	221.12985879324927	3805.371196036801	3801.18359375
6038.299999999999	263.3681464279433	3802.238499646143	3801.18359375
6039.15	305.60643406263733	3793.8474876150035	3801.18359375
6039.999999999999	347.84472169728616	3802.3722576079263	3801.18359375
6040.8499999999985	390.08300933193493	3802.7133757961783	3801.18359375
6041.699999999999	432.321296966629	3792.6206652512383	3801.18359375
