vhel	wav	cont	flux
-273.5574385650067	9043.899999999998	1999.8892822265625	1953.3575725406936
-245.40685469329992	9044.749999999998	1999.8892822265625	1958.1220806794056
-217.25627082159312	9045.599999999999	1999.8892822265625	1970.1381811748054
-189.10568694994663	9046.449999999997	1999.8892822265625	2002.7031139419676
-160.9551030782399	9047.299999999997	1999.8892822265625	2110.508492569002
-132.80451920653312	9048.149999999998	1999.8892822265625	2269.6408351026184
-104.65393533482636	9048.999999999998	1999.8892822265625	2327.923743807502
-76.50335146311959	9049.849999999999	1999.8892822265625	2227.777777777778
-48.352767591473075	9050.699999999997	1999.8892822265625	2109.658704883227
-20.20218371976631	9051.549999999997	1999.8892822265625	2119.8660651096957
7.948400151940446	9052.399999999998	1999.8892822265625	2181.7549539985844
36.098984023647205	9053.249999999998	1999.8892822265625	2190.5438782731776
64.24956789535396	9054.099999999999	1999.8892822265625	2128.9907997169144
92.40015176706073	9054.949999999999	1999.8892822265625	2079.8681882519463
120.55073563870724	9055.799999999997	1999.8892822265625	2087.7393842887473
148.701319510414	9056.649999999998	1999.8892822265625	2120.827671620665
176.85190338212075	9057.499999999998	1999.8892822265625	2157.0874026893134
205.00248725382752	9058.349999999999	1999.8892822265625	2189.786447275301
233.15307112553427	9059.199999999999	1999.8892822265625	2262.1818825194623
261.30365499724104	9060.05	1999.8892822265625	2391.6045647558385
289.45423886888756	9060.899999999998	1999.8892822265625	2584.900389242746
