vhel	cont	wav	flux
-402.8988007114088	9765.80859375	5892.949999999999	9941.4814453125
-359.71714455670985	9765.80859375	5893.799999999999	9670.166015625
-316.53548840205724	9765.80859375	5894.649999999999	9709.1455078125
-273.3538322473583	9765.80859375	5895.499999999999	9649.0830078125
-230.17217609265947	9765.80859375	5896.349999999999	9567.2353515625
-186.9905199380068	9765.80859375	5897.199999999999	9537.046875
-143.8088637833541	9765.80859375	5898.049999999998	9597.810546875
-100.62720762865521	9765.80859375	5898.899999999999	9694.201171875
-57.445551473956314	9765.80859375	5899.749999999999	9725.1083984375
-14.26389531925743	9765.80859375	5900.599999999999	9872.5537109375
28.917760835395253	9765.80859375	5901.449999999999	9807.8720703125
72.09941699009414	9765.80859375	5902.299999999999	9633.45703125
115.28107314474681	9765.80859375	5903.149999999999	9767.7587890625
158.4627292994457	9765.80859375	5903.999999999999	9770.4833984375
201.6443854540984	9765.80859375	5904.8499999999985	9645.466796875
244.82604160879728	9765.80859375	5905.699999999999	9764.9423828125
288.0076977634962	9765.80859375	5906.549999999999	9825.501953125
331.1893539181951	9765.80859375	5907.4	9620.1787109375
374.37101007280154	9765.80859375	5908.249999999998	9691.4404296875
417.5526662275005	9765.80859375	5909.0999999999985	9764.7802734375
460.7343223821993	9765.80859375	5909.949999999999	9717.3642578125
