flux	vhel	wav	cont
5400.002192982456	-437.7476393001193	5776.499999999999	5354.96826171875
5390.3744517543855	-393.6982142492353	5777.3499999999985	5354.96826171875
5379.753837719299	-349.64878919830414	5778.199999999999	5354.96826171875
5375.1776315789475	-305.59936414737297	5779.049999999999	5354.96826171875
5317.59923245614	-261.54993909644185	5779.9	5354.96826171875
5281.1140350877195	-217.50051404551067	5780.75	5354.96826171875
5295.46875	-173.45108899467377	5781.5999999999985	5354.96826171875
5283.052083333333	-129.40166394374262	5782.449999999999	5354.96826171875
5318.379934210527	-85.35223889281147	5783.299999999999	5354.96826171875
5359.1661184210525	-41.30281384188031	5784.15	5354.96826171875
5341.684210526316	2.7466112090037194	5784.999999999999	5354.96826171875
5333.7911184210525	46.79603625993488	5785.849999999999	5354.96826171875
5366.398026315789	90.84546131086604	5786.7	5354.96826171875
5365.456140350877	134.89488636175005	5787.549999999999	5354.96826171875
5343.587171052632	178.94431141263408	5788.399999999999	5354.96826171875
5376.7182017543855	222.99373646356523	5789.249999999999	5354.96826171875
5345.1452850877195	267.0431615144964	5790.099999999999	5354.96826171875
5350.277960526316	311.09258656542755	5790.95	5354.96826171875
5377.194627192983	355.1420116162644	5791.799999999998	5354.96826171875
5356.313596491228	399.19143666719555	5792.649999999999	5354.96826171875
5345.700657894737	443.2408617181267	5793.499999999999	5354.96826171875
