flux	vhel	wav	cont
5764.214285714285	-520.5202480747129	4950.299999999999	6286.09375
5880.922077922078	-469.1332317142407	4951.15	6286.09375
6034.426767676768	-417.7462153538235	4951.999999999999	6286.09375
6341.872294372294	-366.3591989934064	4952.8499999999985	6286.09375
6872.521645021645	-314.97218263293416	4953.699999999999	6286.09375
8109.096681096681	-263.585166272462	4954.549999999999	6286.09375
13463.070707070707	-212.1981499120448	4955.399999999999	6286.09375
42936.50505050505	-160.81113355157262	4956.249999999999	6286.09375
182773.9797979798	-109.42411719110045	4957.099999999999	6286.09375
490848.6002886003	-58.03710083062828	4957.95	6286.09375
741174.9956709957	-6.650084470266079	4958.799999999998	6286.09375
683624.7734487734	44.736931890206094	4959.649999999999	6286.09375
375727.93073593074	96.12394825067825	4960.499999999999	6286.09375
109233.09668109668	147.51096461115046	4961.349999999999	6286.09375
23930.18181818182	198.8979809716226	4962.2	6286.09375
9650.88455988456	250.2849973320398	4963.049999999999	6286.09375
7349.79797979798	301.67201369245697	4963.899999999999	6286.09375
6636.354978354978	353.0590300529292	4964.749999999999	6286.09375
6235.071428571428	404.4460464133464	4965.5999999999985	6286.09375
5964.464285714285	455.83306277381854	4966.449999999999	6286.09375
5781.294372294372	507.2200791342907	4967.299999999999	6286.09375
