flux	vhel	wav	cont
2728.9938075017694	-273.75781964011685	8884.099999999999	1893.716796875
3200.208067940552	-245.10090502260752	8884.949999999999	1893.716796875
3009.08669497523	-216.44399040509813	8885.8	1893.716796875
2354.2974168435953	-187.7870757876501	8886.649999999998	1893.716796875
1951.312101910828	-159.13016117014075	8887.499999999998	1893.716796875
1883.9907997169144	-130.4732465526314	8888.349999999999	1893.716796875
1878.2430997876859	-101.81633193512204	8889.199999999999	1893.716796875
1894.3579263977354	-73.1594173176127	8890.05	1893.716796875
1944.1470276008492	-44.50250270016465	8890.899999999998	1893.716796875
2062.2696390658175	-15.845588082655288	8891.749999999998	1893.716796875
2143.922151450814	12.811326534854071	8892.599999999999	1893.716796875
2101.0868719037508	41.46824115236343	8893.449999999999	1893.716796875
1976.5944798301487	70.12515576981146	8894.299999999997	1893.716796875
1912.1884288747347	98.78207038732083	8895.149999999998	1893.716796875
1890.1721514508138	127.43898500483017	8895.999999999998	1893.716796875
1866.41330502477	156.09589962233954	8896.849999999999	1893.716796875
1863.5958952583157	184.75281423978757	8897.699999999997	1893.716796875
1874.339702760085	213.40972885729693	8898.549999999997	1893.716796875
1884.057678697806	242.06664347480626	8899.399999999998	1893.716796875
1949.3899504600142	270.7235580923156	8900.249999999998	1893.716796875
